1	921128
2	552246
3	380319
4	278438
5	210814
6	163149
7	127941
8	102155
9	82126
10	66634
11	53905
12	45002
13	37092
14	31210
15	26231
16	22041
17	18917
18	16171
19	13719
20	11871
21	10365
22	9039
23	7710
24	6853
25	5975
26	5491
27	4681
28	4102
29	3719
30	3427
31	3065
32	2751
33	2417
34	2093
35	2015
36	1775
37	1637
38	1450
39	1399
40	1267
41	1127
42	1054
43	951
44	875
45	845
46	744
47	690
48	642
49	565
50	529
51	522
52	452
53	436
54	385
55	366
56	306
57	314
58	351
59	300
60	278
61	252
62	246
63	216
64	205
65	179
66	166
67	166
68	158
69	150
70	159
71	122
72	122
73	116
74	130
75	108
76	106
77	104
78	89
79	79
80	76
81	78
82	84
83	83
84	59
85	59
86	53
87	71
88	66
89	57
90	54
91	54
92	41
93	55
94	35
95	33
96	33
97	29
98	36
99	32
100	32
101	29
102	21
103	23
104	22
105	15
106	25
107	24
108	20
109	20
110	23
111	22
112	23
113	18
114	24
115	17
116	15
117	15
118	15
119	21
120	18
121	13
122	18
123	15
124	11
125	14
126	12
127	10
128	10
129	11
130	8
131	5
132	9
133	8
134	11
135	4
136	10
137	13
138	9
139	8
140	7
141	8
142	8
143	9
144	11
145	8
146	8
147	3
148	6
149	6
150	3
151	4
152	5
153	7
154	4
155	3
156	5
157	2
158	7
159	2
160	3
161	6
162	5
163	7
164	2
165	1
166	5
167	3
168	4
169	2
170	4
171	3
172	2
173	7
174	5
175	3
176	5
178	2
179	2
180	3
181	2
182	1
183	1
184	3
188	1
189	1
190	2
191	2
192	2
193	4
194	2
195	1
196	1
197	3
198	4
199	2
200	1
201	2
202	2
205	2
206	1
207	2
208	1
210	1
213	2
215	1
216	3
218	2
219	1
220	1
221	3
223	3
225	3
226	1
231	3
232	1
233	4
234	3
235	1
236	1
237	2
239	1
240	1
241	1
242	1
243	1
244	1
246	2
248	1
251	2
252	1
254	1
261	1
262	1
267	1
273	2
276	1
278	1
280	1
286	1
287	1
289	1
292	1
305	1
311	1
339	1
360	1
382	1
401	1
411	1
605	1
613	1
631	1
633	1
654	1
658	1
678	1
716	1
779	1
